HADHB,CYLD
HADHB,ATP1A1
HADHB,MAP3K1
HADHB,GRB7
HADHB,HSP90AB1
HADHB,ADRB2
HADHB,GABARAPL2
HADHB,UBC
HADHB,RPS8
HADHB,EFTUD2
HADHB,EGLN3
HADHB,OPA1
HADHB,RCC1
HADHB,UQCRC2
HADHB,ANXA7
HADHB,MAP1LC3A
HADHB,FBXO6
HADHB,CUL7
HADHB,ELOA
HADHB,DDOST
HADHB,GABARAPL1
HADHB,VDAC1
HADHB,ATG101
HADHB,MAP1LC3C
HADHB,SMN2
HADHB,SMN1
HADHB,MED23
HADHB,RTF1
HADHB,ATP1B1
HADHB,GRK5
HADHB,LEO1
HADHB,DES
HADHB,CETN3
HADHB,PPP6R1
HADHB,MED4
HADHB,TK1
HADHB,NAF1
HADHB,MAP1LC3B
HADHB,MCM2
HADHB,PEX19
HADHB,SUOX
HADHB,IQCB1
HADHB,ZNF746
HADHB,HSPB2
HADHB,SYNDIG1
HADHB,KCNA6
HADHB,AKTIP
HADHB,COX17
HADHB,NEMF
HADHB,TNNI3K
HADHB,TUBB1
HADHB,SLC39A4
HADHB,CHCHD4
HADHB,NES
HADHB,YBEY
GTF2E2,GTF2E1
GTF2E2,GTF2A1
GTF2E2,KAT5
GTF2E2,MDC1
GTF2E2,JUN
GTF2E2,FOS
GTF2E2,MDM2
GTF2E2,SUPT16H
GTF2E2,GTF2F1
GTF2E2,GTF2F2
GTF2E2,PTPN11
GTF2E2,FOXM1
GTF2E2,RNF20
GTF2E2,TOP1
GTF2E2,ATF7IP
GTF2E2,TLN1
GTF2E2,TACC3
GTF2E2,TBP
GTF2E2,CSTF1
GTF2E2,CCNH
GTF2E2,CDK7
GTF2E2,DNM2
GTF2E2,DUSP3
GTF2E2,SND1
GTF2E2,GTF2H1
GTF2E2,SIN3A
GTF2E2,MTA2
GTF2E2,HSP90AB1
GTF2E2,MCC
GTF2E2,SF3A1
GTF2E2,LNX1
GTF2E2,SART3
GTF2E2,EFTUD2
GTF2E2,EEF1G
GTF2E2,POLR2A
GTF2E2,PACSIN2
GTF2E2,ERCC3
GTF2E2,NUP62
GTF2E2,GTF2B
GTF2E2,KLF5
GTF2E2,SRRT
GTF2E2,FEN1
GTF2E2,HIST1H1C
GTF2E2,EEF1A2
GTF2E2,NAA15
GTF2E2,MNAT1
GTF2E2,PPP1R8
GTF2E2,OIP5
GTF2E2,SLC9A3R2
GTF2E2,PICK1
GTF2E2,DIS3
GTF2E2,AK4
GTF2E2,MCTS1
GTF2E2,SEC24D
GTF2E2,EXOC8
GTF2E2,HNRNPA1
GTF2E2,TSFM
GTF2E2,RBM12
GTF2E2,GINS4
GTF2E2,MMS19
GTF2E2,GINS3
GTF2E2,CAB39
GTF2E2,VRK1
GTF2E2,LYPLA1
GTF2E2,EIF3J
GTF2E2,HDLBP
GTF2E2,ZRANB2
GTF2E2,HSCB
GTF2E2,XPA
GTF2E2,RPRD1A
GTF2E2,HIBCH
GTF2E2,TOMM34
GTF2E2,HDGFL2
GTF2E2,TPP2
GTF2E2,DNAJC2
GTF2E2,PDCD10
GTF2E2,PMVK
GTF2E2,STX7
GTF2E2,SBDS
GTF2E2,SNX5
GTF2E2,UBR5
GTF2E2,UBA6
GTF2E2,PYM1
GTF2E2,TPR
GTF2E2,UBE2T
GTF2E2,ACAA1
GTF2E2,UBLCP1
GTF2E2,ZMPSTE24
GTF2E2,YARS
GTF2E2,SPRYD4
GTF2E2,NARS
GTF2E2,WDHD1
GTF2E2,CSTF3
GTF2E2,EIF2A
GTF2E2,IBA57
GTF2E2,GINS1
GTF2E2,CMTR1
GTF2E2,HMGN5
GTF2E1,GTF2E2
GTF2E1,GTF2A2
GTF2E1,GTF2A1
GTF2E1,BRCA1
GTF2E1,GTF2F1
GTF2E1,GTF2F2
GTF2E1,FOXM1
GTF2E1,ATF7IP
GTF2E1,SRRM1
GTF2E1,TBP
GTF2E1,EWSR1
GTF2E1,IKBKG
GTF2E1,CDK7
GTF2E1,SND1
GTF2E1,AES
GTF2E1,GTF2H1
GTF2E1,EFTUD2
GTF2E1,POLR2A
GTF2E1,TRIM24
GTF2E1,ERCC3
GTF2E1,SRPK2
GTF2E1,GTF2B
GTF2E1,NSUN2
GTF2E1,MED21
GTF2E1,TAF1
GTF2E1,CDC14B
GTF2E1,SH3GLB2
GTF2E1,ZBTB9
GTF2E1,P4HA1
GTF2E1,CBFA2T2
GTF2E1,SNF8
GTF2E1,SH3GL1
GTF2E1,TAF11
GTF2E1,XPO5
GTF2E1,TCEA1
GTF2E1,GTF2H4
GTF2E1,TAF6
GTF2E1,ANAPC5
GTF2E1,ZSCAN1
GTF2A2,GTF2E1
GTF2A2,GTF2A1
GTF2A2,FOXM1
GTF2A2,HSF1
GTF2A2,TBP
GTF2A2,TERF1
GTF2A2,TERF2
GTF2A2,POLR2A
GTF2A2,TBPL1
GTF2A2,TRIM7
GTF2A2,TAF4
GTF2A2,GTF2A1L
GTF2A1,GTF2E2
GTF2A1,GTF2E1
GTF2A1,GTF2A2
GTF2A1,CSNK2A1
GTF2A1,CSNK2A2
GTF2A1,GTF2F1
GTF2A1,SIRT1
GTF2A1,HUWE1
GTF2A1,TBP
GTF2A1,EWSR1
GTF2A1,BCL3
GTF2A1,TERF2
GTF2A1,CREB1
GTF2A1,RNF4
GTF2A1,SNX6
GTF2A1,NFYA
GTF2A1,ZEB1
GTF2A1,CUEDC2
GTF2A1,BLMH
GTF2A1,DOCK7
GTF2A1,GCN1
GTF2A1,PDIA6
GTF2A1,GORASP2
GTF2A1,HMGB1
GTF2A1,MYLK2
GTF2A1,HSPA9
GTF2A1,BIRC7
GTF2A1,KDM5B
GTF2A1,LMNA
GTF2A1,PSMC6
GTF2A1,BOP1
GTF2A1,TBPL1
GTF2A1,NCOA6
GTF2A1,TAF1
GTF2A1,CNOT1
GTF2A1,HNRNPA1
GTF2A1,GARS
GTF2A1,PTMA
GTF2A1,SP4
GTF2A1,ATP6V1C1
GTF2A1,RDX
GTF2A1,PTCD2
GTF2A1,TRIP4
GTF2A1,TAF4
GTF2A1,MKX
GTF2A1,TAF6
GTF2A1,TAF5
GTF2A1,TAF4B
GTF2A1,TBPL2
VANGL2,SCRIB
VANGL2,TNFRSF1A
VANGL2,SPRY2
VANGL2,NTRK1
VANGL2,SDC2
VANGL2,DLG1
VANGL2,PTPN3
VANGL2,CD79B
VANGL2,CD44
VANGL2,DVL1
VANGL2,KCNA5
VANGL2,PNN
VANGL2,CDH5
VANGL2,PTGER3
VANGL2,VANGL1
VANGL2,NT5E
VANGL2,DVL3
VANGL2,TMEM17
VANGL2,JPH4
VANGL2,KCNS3
VANGL2,ZNRF4
VANGL2,TMEM9B
VANGL2,MANSC1
VANGL2,SLC39A8
VANGL2,MAGI3
VANGL2,SPINT2
VANGL2,SV2C
VANGL2,POPDC2
VANGL2,GPR156
SCRIB,VANGL2
SCRIB,TGFBR1
SCRIB,STX4
SCRIB,CTNNB1
SCRIB,MAP3K3
SCRIB,FOXH1
SCRIB,ACTN1
SCRIB,ITGA4
SCRIB,CDH1
SCRIB,TGFBR2
SCRIB,MAPK3
SCRIB,MAPK1
SCRIB,APC
SCRIB,PRKCA
SCRIB,MET
SCRIB,TJP2
SCRIB,WWTR1
SCRIB,CFTR
SCRIB,PPP1CC
SCRIB,HSP90AA1
SCRIB,GRIN2B
SCRIB,NTRK1
SCRIB,PPP1CB
SCRIB,GIT1
SCRIB,ARHGEF7
SCRIB,HTR2C
SCRIB,CRHR1
SCRIB,PPP1CA
SCRIB,TSHR
SCRIB,RPS6KA2
SCRIB,RALBP1
SCRIB,ACTN3
SCRIB,TRIP6
SCRIB,LNX1
SCRIB,ACTN2
SCRIB,KCNJ4
SCRIB,ACTN4
SCRIB,CNPY3
SCRIB,GUCY1A2
SCRIB,DCUN1D1
SCRIB,FBF1
SCRIB,PHLPP1
SCRIB,LPP
SCRIB,KCNA5
SCRIB,ATP2B2
SCRIB,FN1
SCRIB,ADRA1D
SCRIB,PKP4
SCRIB,PTGDR
SCRIB,CTNND2
SCRIB,UBE3A
SCRIB,TSG101
SCRIB,AKAP1
SCRIB,SLC4A7
SCRIB,VPS11
SCRIB,SLC4A4
SCRIB,TMEM17
SCRIB,OBSL1
SCRIB,TANC1
SCRIB,RPRD1B
SCRIB,FASTKD5
SCRIB,SSTR3
SCRIB,VEPH1
SCRIB,OR5F1
SCRIB,LGR4
SCRIB,VCAM1
SCRIB,KCNB2
SCRIB,WTIP
SCRIB,STARD8
SCRIB,CCDC8
DVL2,PARD6A
DVL2,GRB2
DVL2,TP53
DVL2,TSC2
DVL2,BCL6
DVL2,CSNK2A1
DVL2,WWOX
DVL2,RUNX2
DVL2,GOLGA2
DVL2,ITCH
DVL2,PLK1
DVL2,CTNNB1
DVL2,GRAP2
DVL2,DAB2
DVL2,SQSTM1
DVL2,C1QBP
DVL2,SIRT1
DVL2,AKT1
DVL2,FLNB
DVL2,SMURF1
DVL2,TAB1
DVL2,APC
DVL2,EGR1
DVL2,PRKCA
DVL2,HSPA5
DVL2,PIK3R4
DVL2,DACT1
DVL2,AXIN1
DVL2,WWTR1
DVL2,CUL3
DVL2,PLCG2
DVL2,LYN
DVL2,NTRK1
DVL2,TRAF2
DVL2,ARRB2
DVL2,ZBTB17
DVL2,BAMBI
DVL2,WT1
DVL2,IRS1
DVL2,DAAM1
DVL2,AP2M1
DVL2,ABL1
DVL2,WWP1
DVL2,IRS2
DVL2,RHOA
DVL2,RAC1
DVL2,YES1
DVL2,WAS
DVL2,ARRB1
DVL2,PRKCB
DVL2,XPO1
DVL2,AES
DVL2,HIP1
DVL2,IQGAP1
DVL2,MAP3K1
DVL2,SNIP1
DVL2,PPM1A
DVL2,STK11
DVL2,FZD4
DVL2,PRKCG
DVL2,DVL1
DVL2,FZD5
DVL2,DIXDC1
DVL2,PRG2
DVL2,BYSL
DVL2,ATG16L1
DVL2,SORBS3
DVL2,CSNK1E
DVL2,PRKAA1
DVL2,NUMA1
DVL2,U2AF2
DVL2,EGLN3
DVL2,RUSC1
DVL2,CPSF7
DVL2,MAGOHB
DVL2,AKAP9
DVL2,ATG14
DVL2,BAG3
DVL2,MAP1LC3A
DVL2,PRPF31
DVL2,GABARAP
DVL2,TPM3
DVL2,SCNM1
DVL2,RHOXF2
DVL2,ERC1
DVL2,RNPS1
DVL2,RSRC1
DVL2,GABARAPL1
DVL2,CTBP2
DVL2,VHL
DVL2,WWP2
DVL2,MCRS1
DVL2,GMCL2
DVL2,ARL6IP4
DVL2,EPN1
DVL2,RBPMS
DVL2,TARS
DVL2,DYNLT1
DVL2,FOXK1
DVL2,TNFAIP1
DVL2,MED4
DVL2,RNF41
DVL2,USP5
DVL2,THAP1
DVL2,ODF2
DVL2,FAM161A
DVL2,KIAA0753
DVL2,ZNF263
DVL2,RPGRIP1L
DVL2,LRRK2
DVL2,PCBD1
DVL2,PRPF3
DVL2,ATN1
DVL2,ZBTB48
DVL2,AP1M1
